video_id,title
dJ4rWhpAGFI,"DeepMind Made A Superhuman AI For 57 Atari Games!"
qk4cz0B5kK0,"Can We Make An Image Synthesis AI Controllable?"
8GVHuGCH2eM,"DeepMind’s New AI Helps Detecting Breast Cancer"
b8sCSumMUvM,"Is Style Transfer For Fluid Simulations Possible?"
qwAiLBPEt_k,"This AI Controls Virtual Quadrupeds!"
6oQ0Obi14rM,"OpenAI’s Jukebox AI Writes Amazing New Songs"
2Bw5f4vYL98,"How Well Can DeepMind's AI Learn Physics?"
oYtwCZx5rsU,"Surprise Video With Our New Paper On Material Editing!"
3UZzu4UQLcI,"NVIDIA’s AI Recreated PacMan!"
BQQxNa6U6X4,"An AI Made All of These Faces!"
N6wn8zMRlVE,"How Do Neural Networks Learn?"
QSVrKK_uHoU,"Amazing AR Effects Are Coming!"
oHLR287rDRA,"This is Geometry Processing Made Easy!"
wg3upHE8qJw,"Can an AI Learn Lip Reading?"
MrIbQ0pIFOg,"This AI Creates Beautiful 3D Photographs!"
TrdmCkmK3y4,"This AI Creates Dogs From Cats…And More!"
ICr6xi9wA94,"An AI Learned To See Through Obstructions!"
pBkFAIUmWu0,"These AI-Driven Characters Dribble Like Mad!"
nkHL1GNU18M,"Physics in 4 Dimensions…How?"
_x9AwxfjxvE,"OpenAI GPT-3 - Good At Almost Everything!"
fE9BqmJrrW0,"Can We Simulate Tearing Meat?"
u4HpryLU-VI,"From Video Games To Reality…With Just One AI!"
SxIkQt04WCo,"How Can We Simulate Water Droplets?"
qeZMKgKJLX4,"This AI Removes Shadows From Your Photos!"
MwCgvYtOLS0,"TecoGAN: Super Resolution Extraordinaire!"
iKvlOviWs3E,"This AI Creates Images Of Nearly Any Animal!"
-6Xn4nKm-Qw,"OpenAI’s Image GPT Completes Your Images With Style!"
MD_k3p4MH-A,"Can We Simulate Merging Bubbles?"
5NM_WBI9UBE,"This AI Creates Human Faces From Your Sketches!"
bfuBQp1JmX8,"Can We Simulate a Rocket Launch?"
GniyQkgGlUA,"Can An AI Create Original Art?"
YCur6ir6wmw,"AI Makes Video Game After Watching Tennis Matches!"
T29O-MhYALw,"This AI Creates Real Scenes From Your Photos!"
JKe53bcyBQY,"Elon Musk’s Neuralink Puts An AI Into Your Brain!"
UiEaWkf3r9A,"AI-Based Style Transfer For Video…Now in Real Time!"
Popg7ej4AUU,"Beautiful Results From 30 Years Of Light Transport Simulation!"
XrOTgZ14fJg,"This AI Can Deal With Body Shape Variation!"
OzHenjHBBds,"Enhance! Neural Supersampling is Here!"
86QU7_SF16Q,"Remove This! AI-Based Video Completion is Amazing!"
5ePD83StI6A,"This Is What Simulating a 100 Million Particles Looks Like!"
2qMw8sOsNg0,"What is De-Aging?"
DxW_kk5LWYQ,"Beautiful Elastic Simulations, Now Much Faster!"
F0QwAhUnpr4,"Finally, Deformation Simulation... in Real Time!"
ooZ9rUYOFI4,"Simulating Dragons Under Cloth Sheets!"
Jy_VZQnZqGk,"This AI Creates A 3D Model of You!"
lLa9DUiJICk,"Making Talking Memes With Voice DeepFakes!"
tWu0AWdaTTs,"This AI Makes Puzzle Solving Look Easy!"
atzPvW95ahQ,"Is Videoconferencing With Smart Glasses Possible?"
vfJz7WlRNk4,"Near-Perfect Virtual Hands For Virtual Reality!"
knIzDj1Ocoo,"This Blind Robot Learned To Climb Any Terrain!"
fPrxiRceAac,"These Are Pixels Made of Wood!"
K940MNp7V8M,"Simulating Honey And Hot Showers For Bunnies!"
BjkgyKEQbSM,"What Is 3D Photography?"
JmVQJg-glYA,"Painting the Mona Lisa...With Triangles!"
tiO43nJKGJY,"Is Simulating Jelly And Bunnies Possible?"
IDMiMKWucaI,"NERFIES: The Selfies of The Future!"
9XM5-CJzrU0,"Light Fields - Videos From The Future!"
C7D5EzkhT6A,"OpenAI DALL-E: Fighter Jet For The Mind!"
nJ86LCA0Asw,"Building A Liquid Labyrinth!"
2wrOHdvAiNc,"All Duckies Shall Pass!"
Aq93TSau8GE,"This AI Learned To Create Dynamic Photos!"
7O7W-_FKRMQ,"Episode 500 - 8 Years Of Progress In Cloth Simulations!"
mb6WJ34xQXg,"This Neural Network Makes Virtual Humans Dance!"
JSNE_PIG1UQ,"7 Years of Progress In Snow Simulation!"
MbZ0ld1ShFo,"Perfect Virtual Hands - But At A Cost!"
o7dqGcLDf0A,"These Neural Networks Have Superpowers!"
ZZ-kORb8grA,"This AI Learn To Climb Crazy Terrains!"
2wcw_O_19XQ,"This is What Abraham Lincoln May Have Looked Like!"
-Ny-p-CHNyM,"Finally, Instant Monsters!"
9kllWAX9tHw,"Differentiable Material Synthesis Is Amazing!"
I04zRq6UlIg,"This Magnetic Simulation Took Nearly A Month!"
lxzGraohijU,"5 Crazy Simulations That Were Previously Impossible!"
B8RMUSmIGCI,"3 New Things An AI Can Do With Your Photos!"
4etSuEQOzDw,"All Hail The Adaptive Staggered Grid!"
dVa1xRaHTA0,"NVIDIA’s AI Puts Video Calls On Steroids!"
bnm7skt2aYE,"An AI That Makes Dog Photos - But How?"
jjfDO2pWpys,"DeepMind’s AI Watches YouTube and Learns To Play!"
RUDWn_obddI,"OpenAI Outperforms Some Humans In Article Summarization!"
4CYI6dt1ZNY,"This AI Learned To Stop Time!"
6SJ19OgHi4w,"Soap Bubble Simulations Are Now Possible!"
v5pOsQEOsyA,"Finally, Video Stabilization That Works!"
HNJPasJUGqs,"Do Neural Networks Think Like Our Brain? OpenAI Answers!"
adHjNqh5iGY,"Can You Put All This In a Photo?"
t7nO7MPcOGo,"This AI Makes Beautiful Videos From Your Images!"
rzIiuGrOZAo,"9 Years of Progress In Cloth Simulation!"
_4fL4jnC8xQ,"Is Simulating Wet Papers Possible?"
gfMyGad1Gmc,"5 Fiber-Like Tools That Can Now Be 3D-Printed!"
2jwVDRKKDME,"Burning Down Virtual Trees... In Real Time!"
iXqLTJFTUGc,"AI Makes Near-Perfect DeepFakes in 40 Seconds!"
yc1WpkthV3g,"This AI Made Me Look Like Obi-Wan Kenobi!"
3IFLVOaFAus,"Can An AI Perform A Cartwheel?"
9RzCZZBjlxM,"AI “Artist” Creates Near-Perfect Toonifications!"
x2zDrSgrlYQ,"Beautiful Glitter Simulation…Faster Than Real Time!"
eksOgX3vacs,"Meet Your Virtual AI Stuntman!"
LtyvS7NYonw,"Beautiful Fluid Simulations...In Just 40 Seconds!"
g7bEUB8aLvM,"Can We Teach Physics To A DeepMind's AI?"
22Sojtv4gbg,"Intel's Video Game Looks Like Reality!"
vx7H7GrE5KA,"Can An AI Heal This Image?"
rSPwOeX46UA,"This is Grammar For Robots. What? Why?"
SEsYo9L5lOo,"Google’s New AI Puts Video Calls On Steroids!"
2qqDwaZlkE0,"Glitter Simulation, Now Faster Than Ever!"
AGCH1GR7pPU,"Burning Down an Entire Virtual Forest!"
7WgtK1C4hQg,"Simulating The Olympics… On Mars!"
Lp4k4O_HEeQ,"One Simulation Paper, Tons of Progress!"
jl0XCslxwB0,"NVIDIA’s Minecraft AI: Feels Like Magic!"
Nz-X3cCeXVE,"This AI Helps Testing The Games Of The Future!"
BpApq2EPDXE,"This Magical AI Makes Your Photos Move!"
VqeNSZqiBzc,"A Simulation That Looks Like Reality!"
1F-WnarzkX8,"Neural Materials Are Amazing!"
0zaGYLPj4Kk,"NVIDIA’s Face Generator AI: This Is The Next Level!"
_8ExhGic_Co,"DeepMind’s Robot Inserts A USB Stick!"
8qeCjeJTnvI,"Is This Simulation Wrong?"
-4M-xoE6iH0,"This AI Creates Dessert Photos...And More!"
G00A1Fyr5ZQ,"New AI Research Work Fixes Your Choppy Videos!"
eQRZ7FUkwKo,"Simulating Bursting Soap Bubbles!"
iZA9bl-t6J4,"Virtual Bones Make Everything Better!"
uuzow7TEQ1s,"DeepMind’s AI Plays Catch…And So Much More!"
lCBSGOwV-_o,"This Magical AI Cuts People Out Of Your Videos!"
SsJ_AusntiU,"This AI Learned Boxing…With Serious Knockout Power!"
UrB-tqA8oeg,"This AI Helps Making A Music Video!"
_9Bli4zCzZY,"This AI Creates Virtual Fingers!"
6hkiTejoyms,"Watch Tesla’s Self-Driving Car Learn In a Simulation!"
81rBzfbFLiE,"OpenAI Codex: An AI That Writes Video Games!"
HnkVoOdTiSo,"Can An AI Design A Good Game Level?"
rawsSOLNYE0,"This AI Makes Digital Copies of Humans!"
CfJ074h9K8s,"The Tale Of The Unscrewable Bolt!"
ogL-2IClOug,"NVIDIA’s New Technique: Beautiful Models For Less!"
ZDItmrqfxwI,"This AI Stuntman Just Keeps Getting Better!"
t33jvL7ftd4,"This AI Learned Some Crazy Fighting Moves!"
IXqj4HqNbPE,"3D Modeling This Toaster Just Became Easier!"
ia-VBSF4KXA,"This New Method Can Simulate a Vast Ocean!"
9L5NqNDZHjk,"Finally, Beautiful Virtual Scenes…For Less!"
BS2la3C-TYc,"This Image Is Fine. Completely Fine."
VMCYRCCqR5Q,"This AI Learned Physics...But How Good Is It?"
M2QJ9iyGQ48,"Watch This Virtual Dinosaur Fall Into A Cactus!"
Mrdkyv0yXxY,"Is Simulating Tiny Cloth Wrinkles Possible?"
QR5MFQnZM3k,"NVIDIA’s Stretchy Simulation: Super Quick!"
Y6ezNI0Idsc,"Watch This Statue Grow Out Of Nothing!"
WCAF3PNEc_c,"Google's Enhance AI - Super Resolution Is Here!"
dZ_5TPWGPQI,"New AI: Photos Go In, Reality Comes Out!"
ReBeJcmIlnA,"Virtual Reality Fluid Drawing Is Here!"
qeSoAbJoi7c,"Can A Virtual Sponge Sink?"
3wHbeq61Wn0,"Man VS Machine: Who Plays Table Tennis Better?"
8YOpFsZsR9w,"Simulating A Virtual World…For A Thousand Years!"
zDTUbtmUbG8,"This AI Makes Celebrities Old…For a Price!"
KZhoU_3k0Nk,"Finally, This Table Cloth Pull is Now Possible!"
d3njVfnCdN0,"From Mesh To Yarn... In Real Time!"
MrKlPvWvQ2Q,"NVIDIA’s New AI: Journey Into Virtual Reality!"
EFiUalqhWDc,"Yes, These Are Virtual Dumplings!"
szOMIn0YyUM,"Ubisoft’s New AI Predicts the Future of Virtual Characters!"
B-zxoJ9o7s0,"Google’s New AI: This is Where Selfies Go Hyper!"
wXaVokqhHDk,"Microsoft’s AI Understands Humans…But It Had Never Seen One!"
mFnGBz_rPfU,"New AI Makes You Play Table Tennis…In a Virtual World!"
S-Jj3ybaUNg,"This New AI Creates Lava From Water!"
55PJtqpXAm4,"Stanford Invented The Ultimate Bouncy Simulator!"
yptwRRpPEBM,"Photos Go In, Reality Comes Out…And Fast!"
MCq0x01Jmi0,"New AI: Next Level Video Editing!"
Wbid5rvCGos,"NVIDIA’s New AI Draws Images With The Speed of Thought!"
0ISa3uubuac,"Opening The First AI Hair Salon!"
v8n4JEMJrrU,"Wow, A Simulation That Matches Reality!"
uBGY9-GaSdo,"Adobe's New Simulation: Bunnies Everywhere!"
b2D_5G_npVI,"Next Level Paint Simulations Are Coming!"
WAuaCBmHa3U,"Can A Goldfish Drive a Car? Yes! But How?"
ItKi3h7IY2o,"OpenAI GLIDE AI: Astounding Power!"
DTqcPEhSHB8,"Adobe's New Method: Stunning Creatures... Even Cheaper!"
eaSTGOgO-ss,"NVIDIA’s New AI: Superb Details, Super Fast!"
j8tMk-GE8hY,"NVIDIA’s New AI: Wow, Instant Neural Graphics!"
QrsxIa0JDi4,"These Smoke Simulations Have A Catch!"
9JZdAq8poww,"Is OpenAI’s AI As Smart As A University Student?"
v9aOsn8a-z4,"Is Simulating A Jelly Sandwich Possible?"
xpqMmmUkc_0,"This New AI Can Find Your Dog In A Video!"
KeepnvtICWo,"NVIDIA's Magical AI Speaks Using Your Voice!"
x_cxDgR1x-c,"DeepMind's New AI: As Smart As An Engineer... Kind Of!"
XM-rKTOyD_k,"This Blind Robot Can Walk...But How?"
FYVf0bRgO5Q,"DeepMind AlphaFold: A Gift To Humanity!"
e0yEOw6Zews,"NVIDIA's New AI: Enhance!"
cwS_Fw4u0rM,"This AI Creates Beautiful Light Simulations!"
8AZhcnWOK7M,"Waymo's AI Recreates San Francisco From 2.8 Million Photos!"
qtOkktTNs-k,"Adobe’s New AI: Next Level Cat Videos!"
PmxhCyhevMY,"OpenAI’s New AI Thinks That Birds Aren’t Real!"
cS4jCvzey-4,"NVIDIA's New AI: Next Level Image Editing!"
X3_LD3R_Ygs,"OpenAI DALL-E 2: Top 10 Insane Results!"
yl1jkmF7Xug,"NVIDIA's Ray Tracing AI - This is The Next Level!"
YNY_ZEuDncM,"This New AI is Photoshop For Your Hair!"
zxyZSxnTrZs,"DeepMind’s New AI Finally Enters The Real World!"
-t-Pze6DNig,"NVIDIA’s Robot AI Finally Enters The Real World!"
L9kA8nSJdYw,"DeepMind's New AI: A Spark Of Intelligence!"
CFT-2soU508,"DeepMind’s New AI Learns Gaming From Humans!"
5j8I7V6blqM,"NVIDIA’s New AI Grows Objects Out Of Nothing!"
aPiHhJjN3hI,"DeepMind’s New AI Thinks It Is A Genius!"
ayuEnJmwocE,"This AI Makes You A Virtual Stuntman!"
N-Pf9lCFi4E,"Google’s New AI: Flying Through Virtual Worlds!"
MUDveGZIRaM,"NVIDIA Renders Millions of Light Sources!"
lbUluHiqwoA,"OpenAI’s DALL-E 2: Even More Beautiful Results!"
D0vpgZKNEy0,"Google’s New Robot: Your Personal Butler!"
HyOW6fmkgrc,"Google’s Imagen AI: Outrageously Good!"
mtkBIOK_28A,"OpenAI DALL-E 2 - AI or Artist? Which is Better?"
8hXsUNr3TXs,"DeepMind Takes A Step Towards General AI!"
imuarn1A6p8,"NVIDIA’s Ray Tracer: Wow, They Nailed It Again!"
a0ubtHxj1UA,"Google AI Simulates Evolution On A Computer!"
MO2K0JXAedM,"NVIDIA’s AI Nailed Human Face Synthesis!"
19gzG-AsBNU,"Watch This Dragon Grow Out Of Nothing!"
Q9FGUii_4Ok,"OpenAI DALL-E 2 - Top 10 Best Images!"
1kV-rZZw50Q,"NVIDIA’s New AI Trained For 10 Years! But How?"
fVrcBY0lOWw,"Finally, Robotic Telekinesis is Here!"
QqHchIFPE7g,"NVIDIA GTC: When Simulation Becomes Reality!"
5LL6z1Ganbw,"NVIDIA’s AI Plays Minecraft After 33 Years of Training!"
XgdgSHweBUI,"Google’s Parti AI: Magical Results!"
W1UDzxtrhes,"NVIDIA’s Ray Tracer - Finally, Real Time!"
TW2w-z0UtQU,"OpenAI’s DALL-E 2: Top 5 New Results!"
fJn9B64Znrk,"OpenAI’s New AI Learned To Play Minecraft!"
JkUF40kPV4M,"Samsung’s AI: Megapixel DeepFakes!"
7iy0WJwNmv4,"Google’s New AI Learned To See In The Dark!"
6-FESfXHF5s,"Microsoft's New AI: Virtual Humans Became Real!"
ICQIx_C8mHo,"Is Google’s New AI As Smart As A Human?"
uboj01Gfy1A,"Microsoft’s New AI: The Selfies Of The Future!"
FCf8OA4GPvI,"OpenAI’s DALL-E 2 - AI-Based Art Is Here!"
jRMy6lxlqjM,"A 1,000,000,000 Particle Simulation!"
nVhmFski3vg,"Stable Diffusion: DALL-E 2 For Free, For Everyone!"
_Y1-KlTEmwk,"Google’s New AI: Fly INTO Photos!"
G7gdOPEd6mU,"DeepMind’s AlphaFold: 200 Gifts To Humanity!"
lj8qofm4n4o,"NVIDIA’s AI: Amazing DeepFakes And Virtual Avatars!"
bVxS9RXt2q8,"NVIDIA’s New AI: Beautiful Simulations, Cheaper!"
NnoTWZ9qgYg,"Google's New AI: Dog Goes In, Statue Comes Out!"
xYvJV_z5Sxc,"Google’s New Self-Driving Robot Is Amazing!"
H-pTZf1zsa8,"Google’s New AI: Fly INTO Photos…But Deeper!"
XW_nO2NMH_g,"Google's AI: Stable Diffusion On Steroids!"
8NAi30ZBpJU,"Wow, A Simulation That Looks Like Reality!"
wqvAconYgK0,"Watch NVIDIA’s AI Teach This Human To Run!"
NRmkr50mkEE,"Ray Tracing: How NVIDIA Solved the Impossible!"
L3G0dx1Q0R8,"Google’s New AI: DALL-E, But Now In 3D!"
VxbTiuabW0k,"Intel’s New AI: Amazing Ray Tracing Results!"
Ybk8hxKeMYQ,"Google’s New Robot: Don't Mess With This Guy!"
YxmAQiiHOkA,"Google’s Video AI: Outrageously Good!"
k54cpsAbMn4,"NVIDIA’s Amazing AI Clones Your Voice!"
bT8e1EV5-ic,"Stable Diffusion Is Getting Outrageously Good!"
hPR5kU91Ef4,"Google’s New AI Learns Table Tennis!"
eM5jn8vY2OQ,"OpenAI's DALL-E 2 Has Insane Capabilities!"
nE5iVtwKerA,"OpenAI’s Whisper Learned 680,000 Hours Of Speech!"
--ZXFpt2S1E,"Crushing 1,000,000 Particles With a Hydraulic Press!"
Dt0cA2phKfU,"Ubisoft’s New AI: Breathing Life Into Games!"
263vx1g52eM,"OpenAI’s New AI: Video Game Addict No More!"
shy51E-MU8Y,"NVIDIA’s New AI: Generating 3D Models!"
